2025-12-10 17:12:33.108  1698-1895  TranDynami...rollerImpl system_server                        E  TranDynamicBarAnimControllerImpl setSimplifyAnimByLauncherType pkgName:com.rmst.biometrics
2025-12-10 17:12:33.108  1698-1895  TranDynami...rollerImpl system_server                        E  end setSimplifyAnimByLauncherType mSimplifyAnimOpenPkgName:com.rmst.biometrics simplifyAnimByLauncherType:0
2025-12-10 17:12:33.160  1698-4890  TranDynami...rollerImpl system_server                        E  TranDynamicBarAnimControllerImpl setSimplifyAnimByLauncherType pkgName:com.rmst.biometrics
2025-12-10 17:12:33.160  1698-4890  TranDynami...rollerImpl system_server                        E  end setSimplifyAnimByLauncherType mSimplifyAnimOpenPkgName:com.rmst.biometrics simplifyAnimByLauncherType:1
---------------------------- PROCESS STARTED (22361) for package com.rmst.biometrics ----------------------------
2025-12-10 17:12:33.564 22361-22361 DebugTheme...emeUpdated com.rmst.biometrics                  D  reload start !TranResourcesUtils.isRunningOnSystemServer()=true currentForegroundUser=0
2025-12-10 17:13:02.849 22361-22567 TranClassInfo           com.rmst.biometrics                  D  instance successfully. com.transsion.hubcore.database.sqlite.TranSQLiteDatabaseImpl@18013f9 from com.transsion.hubcore.database.sqlite.ITranSQLiteDatabase
2025-12-10 17:13:02.849 22361-22567 TranClassInfo           com.rmst.biometrics                  D  instance successfully. com.transsion.hubcore.spdopts.others.implement.TranSQLiteDatabaseComponentImpl@5348f3e from com.transsion.hubcore.spdcomponent.ITranSQLiteDatabaseComponent
2025-12-10 17:13:02.856 22361-22567 TransportR...oScheduler com.rmst.biometrics                  D  Scheduling upload for context TransportContext(cct, DEFAULT, MSRodHRwczovL2ZpcmViYXNlbG9nZ2luZy5nb29nbGVhcGlzLmNvbS92MGNjL2xvZy9iYXRjaD9mb3JtYXQ9anNvbl9wcm90bzNc) with jobId=916989176 in 30000ms(Backend next call timestamp 1765367742636). Attempt 1
2025-12-10 17:13:02.856 22361-22567 CompatChangeReporter    com.rmst.biometrics                  D  Compat change id reported: 194532703; UID 10271; state: ENABLED
2025-12-10 17:13:02.867 22361-22361 TranStream...tionMapExt com.rmst.biometrics                  D  loadAppInfoFromXML 11
2025-12-10 17:13:02.904 22361-22361 DeferrableSurface       com.rmst.biometrics                  D  Surface created[total_surfaces=1, used_surfaces=0](androidx.camera.core.SurfaceRequest$2@98a476d}
2025-12-10 17:13:02.907 22361-22361 BufferQueueConsumer     com.rmst.biometrics                  D  [](id:575900000003,api:0,p:-1,c:22361) connect: controlledByApp=true
2025-12-10 17:13:02.908 22361-22361 CameraOrientationUtil   com.rmst.biometrics                  D  getRelativeImageRotation: destRotationDegrees=0, sourceRotationDegrees=90, isOppositeFacing=true, result=90
2025-12-10 17:13:02.908 22361-22361 BufferQueueConsumer     com.rmst.biometrics                  D  [](id:575900000004,api:0,p:-1,c:22361) connect: controlledByApp=true
2025-12-10 17:13:02.909 22361-22361 CameraOrientationUtil   com.rmst.biometrics                  D  getRelativeImageRotation: destRotationDegrees=0, sourceRotationDegrees=90, isOppositeFacing=true, result=90
2025-12-10 17:13:02.910 22361-22361 DeferrableSurface       com.rmst.biometrics                  D  Surface created[total_surfaces=2, used_surfaces=0](androidx.camera.core.impl.ImmediateSurface@275b3f0}
2025-12-10 17:13:02.914 22361-22361 BufferQueueConsumer     com.rmst.biometrics                  D  [](id:575900000005,api:0,p:-1,c:22361) connect: controlledByApp=true
2025-12-10 17:13:02.915 22361-22361 DeferrableSurface       com.rmst.biometrics                  D  Surface created[total_surfaces=3, used_surfaces=0](androidx.camera.core.impl.ImmediateSurface@90a08f}
2025-12-10 17:13:02.918 22361-22566 Camera2CameraImpl       com.rmst.biometrics                  D  {Camera@e1c4371[id=0]} Use case androidx.camera.core.ImageCapture-4d589789-c211-444b-872d-69a1ecdca194176037551 ACTIVE
2025-12-10 17:13:02.919 22361-22361 CameraOrientationUtil   com.rmst.biometrics                  D  getRelativeImageRotation: destRotationDegrees=0, sourceRotationDegrees=90, isOppositeFacing=true, result=90
2025-12-10 17:13:02.919 22361-22566 UseCaseAttachState      com.rmst.biometrics                  D  Active and attached use case: [] for camera: 0
2025-12-10 17:13:02.919 22361-22361 PreviewView             com.rmst.biometrics                  D  Surface requested by Preview.
2025-12-10 17:13:02.922 22361-22361 AppResolutionTuner      com.rmst.biometrics                  D  loadTunerAppList + 
2025-12-10 17:13:02.922 22361-22361 AppResolutionTuner      com.rmst.biometrics                  W  Target file doesn't exist: /data/retuner/sf_resolution_tuner_app_list.xml
2025-12-10 17:13:02.923 22361-22566 Camera2CameraImpl       com.rmst.biometrics                  D  {Camera@e1c4371[id=0]} Use case androidx.camera.core.Preview-55d6bd05-8904-4208-bbbd-1591dd2eca3779745107 INACTIVE
2025-12-10 17:13:02.923 22361-22566 UseCaseAttachState      com.rmst.biometrics                  D  Active and attached use case: [] for camera: 0
2025-12-10 17:13:02.927 22361-22566 Camera2CameraImpl       com.rmst.biometrics                  D  {Camera@e1c4371[id=0]} Use case androidx.camera.core.ImageAnalysis-b8a99e9f-c546-4fba-b011-d11b29790a63248084105 ACTIVE
2025-12-10 17:13:02.927 22361-22361 AppResolutionTuner      com.rmst.biometrics                  D  dom2xml: App{packageName='com.tencent.ig', scale='1.0', filteredWindows= []', scalingFlow= surfaceview'}
2025-12-10 17:13:02.927 22361-22361 AppResolutionTuner      com.rmst.biometrics                  D  dom2xml: App{packageName='com.tencent.tmgp.pubgmhd', scale='1.0', filteredWindows= []', scalingFlow= surfaceview'}
2025-12-10 17:13:02.927 22361-22566 UseCaseAttachState      com.rmst.biometrics                  D  Active and attached use case: [] for camera: 0
2025-12-10 17:13:02.927 22361-22361 AppResolutionTuner      com.rmst.biometrics                  D  dom2xml: App{packageName='com.pubg.krmobile', scale='1.0', filteredWindows= []', scalingFlow= surfaceview'}
2025-12-10 17:13:02.928 22361-22361 AppResolutionTuner      com.rmst.biometrics                  D  dom2xml: App{packageName='vn.vng.pubgmobile', scale='1.0', filteredWindows= []', scalingFlow= surfaceview'}
2025-12-10 17:13:02.928 22361-22361 AppResolutionTuner      com.rmst.biometrics                  D  dom2xml: App{packageName='com.rekoo.pubgm', scale='1.0', filteredWindows= []', scalingFlow= surfaceview'}
2025-12-10 17:13:02.928 22361-22361 AppResolutionTuner      com.rmst.biometrics                  D  dom2xml: App{packageName='com.tencent.tmgp.sgame', scale='1.0', filteredWindows= []', scalingFlow= surfaceview'}
2025-12-10 17:13:02.928 22361-22361 AppResolutionTuner      com.rmst.biometrics                  D  dom2xml: App{packageName='com.dts.freefireth', scale='1.0', filteredWindows= []', scalingFlow= surfaceview'}
2025-12-10 17:13:02.928 22361-22361 AppResolutionTuner      com.rmst.biometrics                  D  dom2xml: App{packageName='com.dts.freefiremax', scale='1.0', filteredWindows= []', scalingFlow= surfaceview'}
2025-12-10 17:13:02.929 22361-22361 AppResolutionTuner      com.rmst.biometrics                  D  dom2xml: App{packageName='com.mobile.legends', scale='1.0', filteredWindows= []', scalingFlow= surfaceview'}
2025-12-10 17:13:02.929 22361-22361 AppResolutionTuner      com.rmst.biometrics                  D  dom2xml: App{packageName='com.tencent.tmgp.cod', scale='1.0', filteredWindows= []', scalingFlow= surfaceview'}
2025-12-10 17:13:02.929 22361-22361 AppResolutionTuner      com.rmst.biometrics                  D  dom2xml: App{packageName='com.activision.callofduty.shooter', scale='1.0', filteredWindows= []', scalingFlow= surfaceview'}
2025-12-10 17:13:02.929 22361-22361 AppResolutionTuner      com.rmst.biometrics                  D  dom2xml: App{packageName='com.garena.game.codm', scale='1.0', filteredWindows= []', scalingFlow= surfaceview'}
2025-12-10 17:13:02.929 22361-22361 AppResolutionTuner      com.rmst.biometrics                  D  dom2xml: App{packageName='com.vng.codmvn', scale='1.0', filteredWindows= []', scalingFlow= surfaceview'}
2025-12-10 17:13:02.930 22361-22361 AppResolutionTuner      com.rmst.biometrics                  D  dom2xml: App{packageName='com.carxtech.sr', scale='1.4', filteredWindows= []', scalingFlow= surfaceview'}
2025-12-10 17:13:02.930 22361-22361 AppResolutionTuner      com.rmst.biometrics                  D  loadTunerAppList - 
2025-12-10 17:13:02.930 22361-22361 AppResolutionTuner      com.rmst.biometrics                  D  loadTunerAppList + 
2025-12-10 17:13:02.930 22361-22361 AppResolutionTuner      com.rmst.biometrics                  W  Target file doesn't exist: /data/retuner/sf_resolution_tuner_app_list.xml
2025-12-10 17:13:02.931 22361-22566 Camera2CameraImpl       com.rmst.biometrics                  D  {Camera@e1c4371[id=0]} Use case androidx.camera.core.ImageCapture-4d589789-c211-444b-872d-69a1ecdca194176037551 ACTIVE
2025-12-10 17:13:02.931 22361-22566 UseCaseAttachState      com.rmst.biometrics                  D  Active and attached use case: [] for camera: 0
2025-12-10 17:13:02.934 22361-22566 UseCaseAttachState      com.rmst.biometrics                  D  Active and attached use case: [] for camera: 0
2025-12-10 17:13:02.935 22361-22361 AppResolutionTuner      com.rmst.biometrics                  D  dom2xml: App{packageName='com.tencent.ig', scale='1.0', filteredWindows= []', scalingFlow= surfaceview'}
2025-12-10 17:13:02.936 22361-22361 AppResolutionTuner      com.rmst.biometrics                  D  dom2xml: App{packageName='com.tencent.tmgp.pubgmhd', scale='1.0', filteredWindows= []', scalingFlow= surfaceview'}
2025-12-10 17:13:02.936 22361-22361 AppResolutionTuner      com.rmst.biometrics                  D  dom2xml: App{packageName='com.pubg.krmobile', scale='1.0', filteredWindows= []', scalingFlow= surfaceview'}
2025-12-10 17:13:02.936 22361-22361 AppResolutionTuner      com.rmst.biometrics                  D  dom2xml: App{packageName='vn.vng.pubgmobile', scale='1.0', filteredWindows= []', scalingFlow= surfaceview'}
2025-12-10 17:13:02.936 22361-22361 AppResolutionTuner      com.rmst.biometrics                  D  dom2xml: App{packageName='com.rekoo.pubgm', scale='1.0', filteredWindows= []', scalingFlow= surfaceview'}
2025-12-10 17:13:02.937 22361-22361 AppResolutionTuner      com.rmst.biometrics                  D  dom2xml: App{packageName='com.tencent.tmgp.sgame', scale='1.0', filteredWindows= []', scalingFlow= surfaceview'}
2025-12-10 17:13:02.937 22361-22361 AppResolutionTuner      com.rmst.biometrics                  D  dom2xml: App{packageName='com.dts.freefireth', scale='1.0', filteredWindows= []', scalingFlow= surfaceview'}
2025-12-10 17:13:02.937 22361-22361 AppResolutionTuner      com.rmst.biometrics                  D  dom2xml: App{packageName='com.dts.freefiremax', scale='1.0', filteredWindows= []', scalingFlow= surfaceview'}
2025-12-10 17:13:02.937 22361-22361 AppResolutionTuner      com.rmst.biometrics                  D  dom2xml: App{packageName='com.mobile.legends', scale='1.0', filteredWindows= []', scalingFlow= surfaceview'}
2025-12-10 17:13:02.937 22361-22361 AppResolutionTuner      com.rmst.biometrics                  D  dom2xml: App{packageName='com.tencent.tmgp.cod', scale='1.0', filteredWindows= []', scalingFlow= surfaceview'}
2025-12-10 17:13:02.938 22361-22361 AppResolutionTuner      com.rmst.biometrics                  D  dom2xml: App{packageName='com.activision.callofduty.shooter', scale='1.0', filteredWindows= []', scalingFlow= surfaceview'}
2025-12-10 17:13:02.938 22361-22361 AppResolutionTuner      com.rmst.biometrics                  D  dom2xml: App{packageName='com.garena.game.codm', scale='1.0', filteredWindows= []', scalingFlow= surfaceview'}
2025-12-10 17:13:02.938 22361-22361 AppResolutionTuner      com.rmst.biometrics                  D  dom2xml: App{packageName='com.vng.codmvn', scale='1.0', filteredWindows= []', scalingFlow= surfaceview'}
2025-12-10 17:13:02.938 22361-22361 AppResolutionTuner      com.rmst.biometrics                  D  dom2xml: App{packageName='com.carxtech.sr', scale='1.4', filteredWindows= []', scalingFlow= surfaceview'}
2025-12-10 17:13:02.938 22361-22361 AppResolutionTuner      com.rmst.biometrics                  D  loadTunerAppList - 
2025-12-10 17:13:02.939 22361-22361 SurfaceExt              com.rmst.biometrics                  D  initResolutionTunner, mPackageName:com.rmst.biometrics,mContainPackageName:falsemXScaleValue:1.0,mYScaleValue:1.0
2025-12-10 17:13:02.939 22361-22566 Camera2CameraImpl       com.rmst.biometrics                  D  {Camera@e1c4371[id=0]} Use cases [androidx.camera.core.Preview-55d6bd05-8904-4208-bbbd-1591dd2eca3779745107, androidx.camera.core.ImageAnalysis-b8a99e9f-c546-4fba-b011-d11b29790a63248084105, androidx.camera.core.ImageCapture-4d589789-c211-444b-872d-69a1ecdca194176037551] now ATTACHED
2025-12-10 17:13:02.940 22361-22361 PreviewView             com.rmst.biometrics                  D  Preview transformation info updated. TransformationInfo{cropRect=Rect(0, 0 - 1600, 1200), rotationDegrees=90, targetRotation=0}
2025-12-10 17:13:02.940 22361-22361 PreviewTransform        com.rmst.biometrics                  D  Transformation info set: TransformationInfo{cropRect=Rect(0, 0 - 1600, 1200), rotationDegrees=90, targetRotation=0} 1600x1200 false
2025-12-10 17:13:02.940 22361-22361 CameraOrientationUtil   com.rmst.biometrics                  D  getRelativeImageRotation: destRotationDegrees=0, sourceRotationDegrees=90, isOppositeFacing=true, result=90
2025-12-10 17:13:02.941 22361-22566 UseCaseAttachState      com.rmst.biometrics                  D  All use case: [androidx.camera.core.ImageCapture-4d589789-c211-444b-872d-69a1ecdca194176037551, androidx.camera.core.ImageAnalysis-b8a99e9f-c546-4fba-b011-d11b29790a63248084105, androidx.camera.core.Preview-55d6bd05-8904-4208-bbbd-1591dd2eca3779745107] for camera: 0
2025-12-10 17:13:02.943 22361-22566 UseCaseAttachState      com.rmst.biometrics                  D  Active and attached use case: [androidx.camera.core.ImageCapture-4d589789-c211-444b-872d-69a1ecdca194176037551, androidx.camera.core.ImageAnalysis-b8a99e9f-c546-4fba-b011-d11b29790a63248084105] for camera: 0
2025-12-10 17:13:02.945 22361-22566 Camera2CameraImpl       com.rmst.biometrics                  D  {Camera@e1c4371[id=0]} Resetting Capture Session
2025-12-10 17:13:02.945 22361-22566 Camera2CameraImpl       com.rmst.biometrics                  D  {Camera@e1c4371[id=0]} Releasing session in state INITIALIZED
2025-12-10 17:13:02.946 22361-22566 Camera2CameraImpl       com.rmst.biometrics                  D  {Camera@e1c4371[id=0]} Attempting to force open the camera.
2025-12-10 17:13:02.946 22361-22566 CameraStateRegistry     com.rmst.biometrics                  D  tryOpenCamera(Camera@e1c4371[id=0]) [Available Cameras: 1, Already Open: false (Previous state: null)] --> SUCCESS
2025-12-10 17:13:02.947 22361-22566 CameraStateRegistry     com.rmst.biometrics                  D  Recalculating open cameras:
                                                                                                    Camera                                       State                 
                                                                                                    -------------------------------------------------------------------
                                                                                                    Camera@e1a0ccf[id=1]                         UNKNOWN               
                                                                                                    Camera@e1c4371[id=0]                         OPENING               
                                                                                                    -------------------------------------------------------------------
                                                                                                    Open count: 1 (Max allowed: 1)
2025-12-10 17:13:02.947 22361-22566 Camera2CameraImpl       com.rmst.biometrics                  D  {Camera@e1c4371[id=0]} Opening camera.
2025-12-10 17:13:02.948 22361-22566 Camera2CameraImpl       com.rmst.biometrics                  D  {Camera@e1c4371[id=0]} Transitioning camera internal state: INITIALIZED --> OPENING
2025-12-10 17:13:02.948 22361-22566 CameraStateMachine      com.rmst.biometrics                  D  New public camera state CameraState{type=OPENING, error=null} from OPENING and null
2025-12-10 17:13:02.948 22361-22566 CameraStateMachine      com.rmst.biometrics                  D  Publishing new public camera state CameraState{type=OPENING, error=null}
2025-12-10 17:13:02.949 22361-22566 UseCaseAttachState      com.rmst.biometrics                  D  All use case: [androidx.camera.core.ImageCapture-4d589789-c211-444b-872d-69a1ecdca194176037551, androidx.camera.core.ImageAnalysis-b8a99e9f-c546-4fba-b011-d11b29790a63248084105, androidx.camera.core.Preview-55d6bd05-8904-4208-bbbd-1591dd2eca3779745107] for camera: 0
2025-12-10 17:13:02.951 22361-22562 libMEOW                 com.rmst.biometrics                  D  meow new tls: 0xb4000070b6e361b0
2025-12-10 17:13:02.951 22361-22562 libMEOW                 com.rmst.biometrics                  D  applied 1 plugins for [com.rmst.biometrics]:
2025-12-10 17:13:02.952 22361-22562 libMEOW                 com.rmst.biometrics                  D    plugin 1: [libMEOW_gift.so]: 0xb400007136c9f820
2025-12-10 17:13:02.952 22361-22562 libMEOW                 com.rmst.biometrics                  D  rebuild call chain: 0xb4000070b6e16190
2025-12-10 17:13:02.955 22361-22361 WhiteNavigationLice     com.rmst.biometrics                  I  add APPEARANCE_LIGHT_NAVIGATION_BARS for DecorView@813a43e[BiometricsActivity]
2025-12-10 17:13:02.960 22361-22361 BufferQueueConsumer     com.rmst.biometrics                  D  [](id:575900000006,api:0,p:-1,c:22361) connect: controlledByApp=false
2025-12-10 17:13:02.960 22361-22361 BLASTBufferQueue        com.rmst.biometrics                  D  [SurfaceView[com.rmst.biometrics/com.biometrics.BiometricsActivity]#3](f:0,a:0) constructor()
2025-12-10 17:13:02.960 22361-22361 BLASTBufferQueue        com.rmst.biometrics                  D  [SurfaceView[com.rmst.biometrics/com.biometrics.BiometricsActivity]#3](f:0,a:0) update width=1600 height=1200 format=4 mTransformHint=0
2025-12-10 17:13:02.961 22361-22361 SurfaceViewImpl         com.rmst.biometrics                  D  Surface created.
2025-12-10 17:13:02.961 22361-22361 SurfaceViewImpl         com.rmst.biometrics                  D  Surface changed. Size: 1600x1200
2025-12-10 17:13:02.963 22361-22361 SurfaceViewImpl         com.rmst.biometrics                  D  Surface set on Preview.
2025-12-10 17:13:02.968 22361-22581 libMEOW                 com.rmst.biometrics                  D  meow new tls: 0xb4000070b6e561d0
2025-12-10 17:13:02.968 22361-22581 libMEOW                 com.rmst.biometrics                  D  applied 1 plugins for [com.rmst.biometrics]:
2025-12-10 17:13:02.968 22361-22581 libMEOW                 com.rmst.biometrics                  D    plugin 1: [libMEOW_gift.so]: 0xb400007136c9f820
2025-12-10 17:13:02.969 22361-22581 libMEOW                 com.rmst.biometrics                  D  rebuild call chain: 0xb4000070b6e761f0
2025-12-10 17:13:02.972 22361-22570 tflite                  com.rmst.biometrics                  I  Initialized TensorFlow Lite runtime.
2025-12-10 17:13:02.975 22361-22566 Camera2CameraImpl       com.rmst.biometrics                  D  {Camera@e1c4371[id=0]} Use case androidx.camera.core.Preview-55d6bd05-8904-4208-bbbd-1591dd2eca3779745107 INACTIVE
2025-12-10 17:13:02.975 22361-22570 libc                    com.rmst.biometrics                  W  Access denied finding property "ro.hardware.chipname"
2025-12-10 17:13:02.975 22361-22566 UseCaseAttachState      com.rmst.biometrics                  D  Active and attached use case: [androidx.camera.core.ImageCapture-4d589789-c211-444b-872d-69a1ecdca194176037551, androidx.camera.core.ImageAnalysis-b8a99e9f-c546-4fba-b011-d11b29790a63248084105] for camera: 0
2025-12-10 17:13:02.978 22361-22566 Camera2CameraImpl       com.rmst.biometrics                  D  {Camera@e1c4371[id=0]} Use case androidx.camera.core.ImageAnalysis-b8a99e9f-c546-4fba-b011-d11b29790a63248084105 ACTIVE
2025-12-10 17:13:02.979 22361-22566 UseCaseAttachState      com.rmst.biometrics                  D  Active and attached use case: [androidx.camera.core.ImageCapture-4d589789-c211-444b-872d-69a1ecdca194176037551, androidx.camera.core.ImageAnalysis-b8a99e9f-c546-4fba-b011-d11b29790a63248084105] for camera: 0
2025-12-10 17:13:02.981 22361-22570 tflite                  com.rmst.biometrics                  I  Created TensorFlow Lite XNNPACK delegate for CPU.
2025-12-10 17:13:02.981 22361-22566 Camera2CameraImpl       com.rmst.biometrics                  D  {Camera@e1c4371[id=0]} Use case androidx.camera.core.ImageCapture-4d589789-c211-444b-872d-69a1ecdca194176037551 ACTIVE
2025-12-10 17:13:02.982 22361-22566 UseCaseAttachState      com.rmst.biometrics                  D  Active and attached use case: [androidx.camera.core.ImageCapture-4d589789-c211-444b-872d-69a1ecdca194176037551, androidx.camera.core.ImageAnalysis-b8a99e9f-c546-4fba-b011-d11b29790a63248084105] for camera: 0
2025-12-10 17:13:02.984 22361-22566 UseCaseAttachState      com.rmst.biometrics                  D  Active and attached use case: [androidx.camera.core.ImageCapture-4d589789-c211-444b-872d-69a1ecdca194176037551, androidx.camera.core.ImageAnalysis-b8a99e9f-c546-4fba-b011-d11b29790a63248084105] for camera: 0
2025-12-10 17:13:02.987 22361-22566 Camera2CameraImpl       com.rmst.biometrics                  D  {Camera@e1c4371[id=0]} Use case androidx.camera.core.Preview-55d6bd05-8904-4208-bbbd-1591dd2eca3779745107 ACTIVE
2025-12-10 17:13:02.988 22361-22566 UseCaseAttachState      com.rmst.biometrics                  D  Active and attached use case: [androidx.camera.core.ImageCapture-4d589789-c211-444b-872d-69a1ecdca194176037551, androidx.camera.core.ImageAnalysis-b8a99e9f-c546-4fba-b011-d11b29790a63248084105, androidx.camera.core.Preview-55d6bd05-8904-4208-bbbd-1591dd2eca3779745107] for camera: 0
2025-12-10 17:13:02.991 22361-22566 Camera2CameraImpl       com.rmst.biometrics                  D  {Camera@e1c4371[id=0]} CameraDevice.onOpened()
2025-12-10 17:13:02.991 22361-22566 Camera2CameraImpl       com.rmst.biometrics                  D  {Camera@e1c4371[id=0]} Transitioning camera internal state: OPENING --> OPENED
2025-12-10 17:13:02.992 22361-22566 CameraStateRegistry     com.rmst.biometrics                  D  Recalculating open cameras:
                                                                                                    Camera                                       State                 
                                                                                                    -------------------------------------------------------------------
                                                                                                    Camera@e1a0ccf[id=1]                         UNKNOWN               
                                                                                                    Camera@e1c4371[id=0]                         OPEN                  
                                                                                                    -------------------------------------------------------------------
                                                                                                    Open count: 1 (Max allowed: 1)
2025-12-10 17:13:02.992 22361-22566 CameraStateMachine      com.rmst.biometrics                  D  New public camera state CameraState{type=OPEN, error=null} from OPEN and null
2025-12-10 17:13:02.992 22361-22566 CameraStateMachine      com.rmst.biometrics                  D  Publishing new public camera state CameraState{type=OPEN, error=null}
2025-12-10 17:13:02.992 22361-22570 tflite                  com.rmst.biometrics                  I  Replacing 272 out of 272 node(s) with delegate (TfLiteXNNPackDelegate) node, yielding 1 partitions for the whole graph.
2025-12-10 17:13:02.993 22361-22566 UseCaseAttachState      com.rmst.biometrics                  D  All use case: [androidx.camera.core.ImageCapture-4d589789-c211-444b-872d-69a1ecdca194176037551, androidx.camera.core.ImageAnalysis-b8a99e9f-c546-4fba-b011-d11b29790a63248084105, androidx.camera.core.Preview-55d6bd05-8904-4208-bbbd-1591dd2eca3779745107] for camera: 0
2025-12-10 17:13:02.996 22361-22566 UseCaseAttachState      com.rmst.biometrics                  D  Active and attached use case: [androidx.camera.core.ImageCapture-4d589789-c211-444b-872d-69a1ecdca194176037551, androidx.camera.core.ImageAnalysis-b8a99e9f-c546-4fba-b011-d11b29790a63248084105, androidx.camera.core.Preview-55d6bd05-8904-4208-bbbd-1591dd2eca3779745107] for camera: 0
2025-12-10 17:13:02.998 22361-22566 SyncCaptureSessionBase  com.rmst.biometrics                  D  [androidx.camera.camera2.internal.SynchronizedCaptureSessionBaseImpl@2cb5b7c] getSurface...done
2025-12-10 17:13:02.999 22361-22566 CaptureSession          com.rmst.biometrics                  D  Opening capture session.
2025-12-10 17:13:03.002 22361-22566 DeferrableSurface       com.rmst.biometrics                  D  New surface in use[total_surfaces=3, used_surfaces=1](androidx.camera.core.SurfaceRequest$2@98a476d}
2025-12-10 17:13:03.002 22361-22566 DeferrableSurface       com.rmst.biometrics                  D  use count+1, useCount=1 androidx.camera.core.SurfaceRequest$2@98a476d
2025-12-10 17:13:03.002 22361-22566 DeferrableSurface       com.rmst.biometrics                  D  New surface in use[total_surfaces=3, used_surfaces=2](androidx.camera.core.impl.ImmediateSurface@90a08f}
2025-12-10 17:13:03.002 22361-22566 DeferrableSurface       com.rmst.biometrics                  D  use count+1, useCount=1 androidx.camera.core.impl.ImmediateSurface@90a08f
2025-12-10 17:13:03.002 22361-22566 DeferrableSurface       com.rmst.biometrics                  D  New surface in use[total_surfaces=3, used_surfaces=3](androidx.camera.core.impl.ImmediateSurface@275b3f0}
2025-12-10 17:13:03.002 22361-22566 DeferrableSurface       com.rmst.biometrics                  D  use count+1, useCount=1 androidx.camera.core.impl.ImmediateSurface@275b3f0
2025-12-10 17:13:03.032 22361-22574 tflite                  com.rmst.biometrics                  I  Replacing 165 out of 165 node(s) with delegate (TfLiteXNNPackDelegate) node, yielding 1 partitions for the whole graph.
2025-12-10 17:13:03.061 22361-22566 CaptureSession          com.rmst.biometrics                  D  Attempting to send capture request onConfigured
2025-12-10 17:13:03.061 22361-22566 CaptureSession          com.rmst.biometrics                  D  Issuing request for session.
2025-12-10 17:13:03.062 22361-22566 Camera2Cap...estBuilder com.rmst.biometrics                  D  createCaptureRequest
2025-12-10 17:13:03.066 22361-22567 TransportR...EventStore com.rmst.biometrics                  D  Storing event with priority=DEFAULT, name=COREML_ON_DEVICE_SOLUTIONS for destination cct
2025-12-10 17:13:03.068 22361-22566 CaptureSession          com.rmst.biometrics                  D  CameraCaptureSession.onConfigured() mState=OPENED
2025-12-10 17:13:03.069 22361-22566 CaptureSession          com.rmst.biometrics                  D  CameraCaptureSession.onReady() OPENED
2025-12-10 17:13:03.095 22361-22567 TransportR...oScheduler com.rmst.biometrics                  D  Upload for context TransportContext(cct, DEFAULT, MSRodHRwczovL2ZpcmViYXNlbG9nZ2luZy5nb29nbGVhcGlzLmNvbS92MGNjL2xvZy9iYXRjaD9mb3JtYXQ9anNvbl9wcm90bzNc) is already scheduled. Returning...
2025-12-10 17:13:03.270 22361-22551 BLASTBufferQueue        com.rmst.biometrics                  D  [SurfaceView[com.rmst.biometrics/com.biometrics.BiometricsActivity]#3](f:0,a:1) acquireNextBufferLocked size=1600x1200 mFrameNumber=1 applyTransaction=true mTimestamp=157730877184000 mPendingTransactions.size=0 graphicBufferId=96039763705874 transform=4
2025-12-10 17:13:03.273 22361-22648 DMABUFHEAPS             com.rmst.biometrics                  I  Using DMA-BUF heap named: mtk_mm
2025-12-10 17:13:03.273 22361-22648 DMABUFHEAPS             com.rmst.biometrics                  I  Using DMA-BUF heap named: mtk_mm-uncached
2025-12-10 17:13:03.273 22361-22648 DMABUFHEAPS             com.rmst.biometrics                  I  Using DMA-BUF heap named: mtk_svp_region-aligned
2025-12-10 17:13:03.273 22361-22648 DMABUFHEAPS             com.rmst.biometrics                  I  Using DMA-BUF heap named: mtk_prot_region
2025-12-10 17:13:03.273 22361-22648 DMABUFHEAPS             com.rmst.biometrics                  I  Using DMA-BUF heap named: mtk_2d_fr_region
2025-12-10 17:13:03.273 22361-22648 DMABUFHEAPS             com.rmst.biometrics                  I  Using DMA-BUF heap named: mtk_wfd_region-aligned
2025-12-10 17:13:03.275 22361-22648 nativeloader            com.rmst.biometrics                  D  Load /data/app/~~e-s_eUUU0ObzHlcAnb0DXw==/com.rmst.biometrics-tpkas6IPNKh-DpndU6De7Q==/base.apk!/lib/arm64-v8a/libimage_processing_util_jni.so using ns clns-7 from class loader (caller=/data/app/~~e-s_eUUU0ObzHlcAnb0DXw==/com.rmst.biometrics-tpkas6IPNKh-DpndU6De7Q==/base.apk): ok
2025-12-10 17:13:03.277 22361-22564 StreamStateObserver     com.rmst.biometrics                  D  Update Preview stream state to STREAMING
2025-12-10 17:13:04.006 22361-22366 rmst.biometrics         com.rmst.biometrics                  I  NativeAlloc concurrent mark compact GC freed 684KB AllocSpace bytes, 9(10MB) LOS objects, 65% free, 6485KB/18MB, paused 407us,5.998ms total 48.121ms
2025-12-10 17:13:04.823 22361-22361 CameraOrientationUtil   com.rmst.biometrics                  D  getRelativeImageRotation: destRotationDegrees=0, sourceRotationDegrees=90, isOppositeFacing=true, result=90
2025-12-10 17:13:06.380 22361-22366 rmst.biometrics         com.rmst.biometrics                  I  Background concurrent mark compact GC freed 676KB AllocSpace bytes, 10(11MB) LOS objects, 65% free, 6489KB/18MB, paused 304us,7.608ms total 46.939ms
2025-12-10 17:13:07.559 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: THUMB | Hand Confidence: 56.180256%
